entry,phonemes,mappings
adagüe,"['a', 'D', 'A', 'G', 'w', 'e']","[('a', 'a'), ('d', 'D'), ('a', 'A'), ('g', 'G'), ('ü', 'w'), ('e', 'e')]"
aegyptis,"['a', 'e', 'G', 'I', 'p', 't', 'i', 's']","[('a', 'a'), ('e', 'e'), ('g', 'G'), ('y', 'I'), ('p', 'p'), ('t', 't'), ('i', 'i'), ('s', 's')]"
aegypty,"['a', 'e', 'G', 'I', 'p', 't', 'i']","[('a', 'a'), ('e', 'e'), ('g', 'G'), ('y', 'I'), ('p', 'p'), ('t', 't'), ('y', 'i')]"
akawayo,"['a', 'k', 'a', 'w', 'A', 'Y', 'o']","[('a', 'a'), ('k', 'k'), ('a', 'a'), ('w', 'w'), ('a', 'A'), ('y', 'Y'), ('o', 'o')]"
aldohexosa,"['a', 'l', 'd', 'o', 'e', 'k', 's', 'O', 's', 'a']","[('a', 'a'), ('l', 'l'), ('d', 'd'), ('o', 'o'), ('h', 'e'), ('e', 'k'), ('x', 's'), ('o', 'O'), ('s', 's'), ('a', 'a')]"
ampère,"['a', 'm', 'p', 'E', 'r', 'e']","[('a', 'a'), ('m', 'm'), ('p', 'p'), ('è', 'E'), ('r', 'r'), ('e', 'e')]"
ancúnez,"['a', 'n', 'k', 'U', 'n', 'e', 'T']","[('a', 'a'), ('n', 'n'), ('c', 'k'), ('ú', 'U'), ('n', 'n'), ('e', 'e'), ('z', 'T')]"
ãndices,"['a', 'n', 'd', 'I', 'T', 'e', 's']","[('ã', 'a'), ('n', 'n'), ('d', 'd'), ('i', 'I'), ('c', 'T'), ('e', 'e'), ('s', 's')]"
aquixtla,"['a', 'k', 'I', 'k', 's', 't', 'l', 'a']","[('a', 'a'), ('q', 'k'), ('u', 'I'), ('i', 'k'), ('x', 's'), ('t', 't'), ('l', 'l'), ('a', 'a')]"
araújo,"['a', 'r', 'A', 'W', 'x', 'o']","[('a', 'a'), ('r', 'r'), ('a', 'A'), ('ú', 'W'), ('j', 'x'), ('o', 'o')]"
ateixtlahuaca,"['a', 't', 'e', 'j', 'k', 's', 't', 'l', 'a', 'W', 'A', 'k', 'a']","[('a', 'a'), ('t', 't'), ('e', 'e'), ('i', 'j'), ('x', 'k'), ('t', 's'), ('l', 't'), ('a', 'l'), ('h', 'a'), ('u', 'W'), ('a', 'A'), ('c', 'k'), ('a', 'a')]"
atoxique,"['a', 't', 'o', 'k', 's', 'I', 'k', 'e']","[('a', 'a'), ('t', 't'), ('o', 'o'), ('x', 'k'), ('i', 's'), ('q', 'I'), ('u', 'k'), ('e', 'e')]"
